,Unnamed: 0,MACE_pred,av_rating,sentence,worker_0,worker_1,worker_2,worker_3,worker_4,worker_5,worker_6,worker_7,round,batch,sent_id,disagree,agree,neutral,confidence_in_prediction_gpt-3.5,confidence_in_prediction_gpt-4o,label_gpt4o,label_gpt-3.5,3.5,4
23,23,agrees,0.625,Doing so will be central for getting global warming under control.,neutral,agrees,agrees,neutral,agrees,agrees,agrees,neutral,1,0,t25,0.0030861805264383,0.7454617536568253,0.2514520658167363,1.0,0.9,A,A,agrees,agrees
24,24,agrees,1.0,Global sea-level rise is both undeniable and consequential.,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,1,0,t26,0.0007200413568176,0.9982420058765812,0.001037952766601,1.0,0.9,A,A,agrees,agrees
25,25,disagrees,-1.0,Global warming isn’t happening.,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,1,0,t27,0.9976607745916812,0.0011682749245403,0.0011709504837784,1.0,1.0,C,C,disagrees,disagrees
26,26,neutral,0.375,Carbon dioxide will hit another record high in 201.,neutral,agrees,neutral,neutral,neutral,neutral,agrees,agrees,1,0,t28,0.0033176383469177,0.3115886257147842,0.6850937359382979,1.0,0.8,B,A,agrees,neither agrees nor disagrees
27,27,neutral,0.0,You now have a global marketplace for clean energy that is stable and accelerating.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1,0,t29,0.0007786820991051,0.0011444081770496,0.9980769097238452,0.8,0.8,B,A,agrees,neither agrees nor disagrees
28,28,neutral,-0.25,"Fighting global warming, the stated purpose of AB32, is a loser with California voters.",disagrees,neutral,neutral,neutral,neutral,disagrees,neutral,neutral,1,0,t3,0.1027448510482786,0.0037322952801503,0.8935228536715711,0.9,0.9,C,C,disagrees,disagrees
29,29,neutral,0.25,Four in ten Americans (40%) have personally experienced the effects of global warming.,neutral,agrees,neutral,neutral,neutral,agrees,neutral,neutral,1,0,t4,0.0026193711417882,0.1190477933417234,0.8783328355164881,0.9,0.8,B,A,agrees,neither agrees nor disagrees
30,30,neutral,-0.125,Fossil fuels will be used for the foreseeable future.,neutral,neutral,neutral,neutral,neutral,neutral,disagrees,neutral,1,0,t5,0.0369044113982233,0.0028931662764624,0.9602024223253142,0.2,0.8,B,A,agrees,neither agrees nor disagrees
31,31,agrees,0.75,Humans have a role and therefore as a matter of prudence we ought to have less carbon loading of the atmosphere.,agrees,agrees,agrees,neutral,agrees,neutral,agrees,agrees,1,0,t6,0.0024851345754369,0.8927853745452782,0.1047294908792848,0.9,0.8,A,A,agrees,agrees
32,32,disagrees,-0.75,The global warming has become a new religion.,disagrees,disagrees,neutral,disagrees,disagrees,disagrees,disagrees,neutral,1,0,t7,0.8659362921748048,0.0038127595635894,0.1302509482616057,0.9,0.8,C,C,disagrees,disagrees
33,33,disagrees,-0.875,The global warming crowd can’t get any crazier.,disagrees,disagrees,disagrees,disagrees,disagrees,neutral,disagrees,disagrees,1,0,t8,0.976679668775352,0.0024198593722878,0.0209004718523601,0.9,0.9,C,C,disagrees,disagrees
34,34,agrees,0.75,Global warming is mainly caused by human activity.,agrees,agrees,agrees,agrees,neutral,agrees,agrees,neutral,1,0,t9,0.0025484994839782,0.8639366695524816,0.1335148309635399,0.9,0.9,A,A,agrees,agrees
35,35,disagrees,-1.0,Global warming is a hoax.,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,1,1,s0,,,,1.0,1.0,C,C,disagrees,disagrees
36,36,agrees,0.75,Alarming levels of sea level rise are predicted to threaten Florida over the next decades.,agrees,agrees,neutral,agrees,agrees,neutral,agrees,agrees,1,1,s1,,,,1.0,0.95,A,A,agrees,agrees
37,37,neutral,0.0,"Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1,1,s2,,,,0.0,0.95,B,B,neither agrees nor disagrees,neither agrees nor disagrees
38,38,agrees,1.0,Global warming is happening and it will be dangerous to human health and welfare.,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,1,1,s3,,,,1.0,0.95,A,A,agrees,agrees
39,39,neutral,0.0,Some icebergs are cute.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1,1,s4,,,,0.2,0.95,B,B,neither agrees nor disagrees,neither agrees nor disagrees
40,40,neutral,0.5,"Across the entire Arctic, forests are burning at a rate unseen in at least 10,000 years.",agrees,neutral,agrees,agrees,neutral,neutral,neutral,agrees,1,1,t0,0.003266759886861,0.4076832684212108,0.5890499716919282,1.0,0.9,A,A,agrees,agrees
41,41,agrees,0.875,Tackling climate change will be the greatest global health opportunity of the 21st century .,agrees,agrees,agrees,agrees,agrees,neutral,agrees,agrees,1,1,t1,0.0012291233463648,0.992295097009261,0.0064757796443741,1.0,0.95,A,A,agrees,agrees
42,42,agrees,1.0,Putting a price on carbon dioxide emissions would be central for getting global warming under control.,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,1,1,t10,0.0007715970906517,0.9980212159551918,0.0012071869541565,1.0,0.9,A,A,agrees,agrees
43,43,agrees,0.875,Humans are causing global warming.,agrees,agrees,agrees,agrees,neutral,agrees,agrees,agrees,1,1,t11,0.0022384407165717,0.9454035205578876,0.0523580387255407,1.0,0.9,A,A,agrees,agrees
44,44,disagrees,-0.875,There’s no sign of global warming hurting productivity yet.,disagrees,disagrees,disagrees,neutral,disagrees,disagrees,disagrees,disagrees,1,1,t12,0.9643325012734868,0.0019833523593172,0.0336841463671959,0.8,0.7,C,C,disagrees,disagrees
45,45,agrees,0.75,The net effect will be a general and global warming of the earth.,agrees,agrees,agrees,agrees,agrees,neutral,neutral,agrees,1,1,t13,0.0026440220980772,0.8886470522706695,0.1087089256312532,1.0,0.8,A,A,agrees,agrees
46,46,disagrees,-0.75,There is no scientific proof that human emissions of carbon dioxide (CO2) are the dominant cause of the minor warming of the Earth’s atmosphere over the past 100 years.,disagrees,disagrees,disagrees,disagrees,disagrees,agrees,disagrees,disagrees,1,1,t14,0.9942531836601328,0.0041370624552928,0.0016097538845743,0.9,0.95,C,C,disagrees,disagrees
47,47,agrees,0.5,The West Antarctic Ice Sheet is going to go unstable.,agrees,agrees,neutral,neutral,agrees,neutral,neutral,agrees,1,1,t15,0.0034456401568254,0.5414037597892405,0.4551506000539341,0.9,0.9,A,A,agrees,agrees
48,48,agrees,0.5,"The West Antarctic ice sheet could disappear in as little as 1,000 years.",agrees,neutral,agrees,neutral,agrees,neutral,agrees,neutral,1,1,t16,0.0033137260439559,0.4595438369667025,0.5371424369893415,1.0,0.8,A,A,agrees,agrees
49,49,disagrees,-1.0,The data isn’t lining up with the Church of Global Warming.,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,1,1,t17,0.9981654167222708,0.0008019248539623,0.0010326584237667,0.9,0.9,C,C,disagrees,disagrees
50,50,neutral,0.5,"A modest carbon tax could pay for all of this work at a fraction the cost of a cap on emissions of greenhouse gases, the approach pursued by Europe under the Kyoto Protocol (and rejected in the United States).",agrees,neutral,agrees,agrees,neutral,agrees,neutral,neutral,1,1,t18,0.0029868903457536,0.2379070491626414,0.759106060491605,0.8,0.8,B,A,agrees,neither agrees nor disagrees
51,51,disagrees,-0.625,I am hoping that the scientists and politicians who have been blindly demonizing carbon dioxide for 37 years will one day open their eyes and look at the evidence.,disagrees,disagrees,agrees,disagrees,disagrees,neutral,disagrees,disagrees,1,1,t19,0.9660695654322254,0.0232653449369555,0.010665089630819,1.0,0.9,C,C,disagrees,disagrees
52,52,neutral,0.125,The world is in the midst of only the third global coral bleaching event ever recorded.,disagrees,neutral,neutral,neutral,agrees,neutral,neutral,agrees,1,1,t2,0.0278317624376946,0.19101319751939,0.7811550400429155,1.0,0.8,A,A,agrees,agrees
53,53,agrees,0.625,The level of carbon dioxide in the atmosphere has never been higher.,agrees,neutral,agrees,agrees,neutral,neutral,agrees,agrees,1,1,t20,0.0034027788211258,0.6828744531196944,0.3137227680591796,1.0,0.8,A,A,agrees,agrees
54,54,neutral,-0.125,"The earth’s cattle population actually produces more carbon dioxide than automobiles, planes, and all other forms of transport combined.",agrees,neutral,disagrees,neutral,neutral,disagrees,neutral,neutral,1,1,t21,0.0515138214170903,0.0175765913769914,0.9309095872059182,1.0,0.8,B,A,agrees,neither agrees nor disagrees
55,55,neutral,-0.375,"There would n’t be much need for emission limits, cap and trade or carbon taxes.",disagrees,neutral,neutral,disagrees,neutral,disagrees,neutral,neutral,1,1,t22,0.1185072473026293,0.0023622452268764,0.8791305074704943,0.9,0.8,C,C,disagrees,disagrees
56,56,disagrees,-1.0,Climate alarmists’ve got it wrong on global warming.,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,1,1,t23,0.9981369381655548,0.0008071176430833,0.0010559441913616,0.9,0.9,C,C,disagrees,disagrees
57,57,neutral,0.375,For-profit carbon project developers work with landowners to qualify large forests for credits.,agrees,neutral,agrees,neutral,neutral,agrees,neutral,neutral,1,1,t24,0.002221346893924,0.0924031986474769,0.9053754544585992,1.0,0.95,B,B,neither agrees nor disagrees,neither agrees nor disagrees
58,58,disagrees,-0.375,By now there should have been global warming equivalent to 2.8 degrees / century.,disagrees,disagrees,agrees,disagrees,neutral,neutral,neutral,disagrees,1,1,t25,0.6131910194449077,0.039498486493238,0.3473104940618543,1.0,0.8,C,A,agrees,disagrees
59,59,neutral,0.125,Climate change models predict a 15 year period of global cooling.,agrees,neutral,neutral,disagrees,neutral,neutral,neutral,agrees,1,1,t26,0.0471716726509694,0.1243877704437837,0.8284405569052469,0.9,0.3,B,C,disagrees,neither agrees nor disagrees
60,60,disagrees,-0.75,"Data on how sea levels are rising, relied upon by the United Nations, is adjusted upward in “ arbitrary ” ways.",neutral,disagrees,disagrees,disagrees,disagrees,neutral,disagrees,disagrees,1,1,t27,0.9610785858859336,0.0020795731433167,0.0368418409707496,0.8,0.8,C,C,disagrees,disagrees
61,61,neutral,0.0,"At that time, the scientific community had just launched the first satellites that provided images of the sea-ice cover from space.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1,1,t28,0.000461794360955,0.0005118720625118,0.9990263335765328,1.0,1.0,B,B,neither agrees nor disagrees,neither agrees nor disagrees
62,62,neutral,0.25,Air travel produces far more carbon emissions than train travel.,agrees,neutral,neutral,neutral,neutral,agrees,neutral,neutral,1,1,t29,0.001420490669021,0.0213684204805397,0.9772110888504392,0.8,0.8,A,A,agrees,agrees
63,63,agrees,0.875,The increase in extreme flood likelihood will occur prior to reaching 73-percent urbanization because of changes in climate.,agrees,agrees,agrees,agrees,agrees,neutral,agrees,agrees,1,1,t3,0.0013009040571148,0.9919201125828568,0.0067789833600284,1.0,0.9,A,A,agrees,agrees
64,64,neutral,0.0,"The study used real-world data to show what actually happened during floods, instead of relying on a model of what “should” happen.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1,1,t4,0.000452699927933,0.0005087515417653,0.9990385485303016,0.2,1.0,B,B,neither agrees nor disagrees,neither agrees nor disagrees
65,65,disagrees,-0.625,Global warming is occurring more slowly than computer models forecast a decade ago.,disagrees,disagrees,neutral,disagrees,neutral,disagrees,disagrees,neutral,1,1,t5,0.6178623188610435,0.0033450737575051,0.3787926073814513,0.8,0.8,B,C,disagrees,neither agrees nor disagrees
66,66,agrees,0.875,"It is thought that the hazardous waste would stay buried and frozen forever beneath the Greenland Ice Sheet, but climate change is warming the Arctic and causing portions of the ice sheet to melt.",agrees,agrees,agrees,agrees,agrees,neutral,agrees,agrees,1,1,t6,0.0013054800991876,0.9918999973292156,0.0067945225715965,0.9,0.9,A,A,agrees,agrees
67,67,agrees,1.0,Human emissions of greenhouse gases are causing global warming.,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,1,1,t7,0.0007670871546221,0.9980729892665264,0.0011599235788514,1.0,0.95,A,A,agrees,agrees
68,68,agrees,1.0,"The impacts of long-term global warming are already being felt in coastal flooding, heat waves, intense precipitation and ecosystem change.",agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,1,1,t8,0.00079269732272,0.9980275555748463,0.0011797471024334,0.9,0.95,A,A,agrees,agrees
69,69,agrees,0.5,The value of a global push to limit the human contribution to warming exceeds the economic value of abundant fossil energy.,agrees,neutral,agrees,disagrees,agrees,agrees,agrees,neutral,1,1,t9,0.0598081147010686,0.6279443066650481,0.3122475786338833,0.9,0.9,A,A,agrees,agrees
70,70,disagrees,-0.875,Global warming is a hoax.,disagrees,disagrees,disagrees,neutral,disagrees,disagrees,disagrees,disagrees,1,2,s0,,,,1.0,1.0,C,C,disagrees,disagrees
71,71,agrees,0.5,Alarming levels of sea level rise are predicted to threaten Florida over the next decades.,agrees,neutral,agrees,neutral,agrees,agrees,neutral,neutral,1,2,s1,,,,1.0,0.95,A,A,agrees,agrees
72,72,neutral,0.125,"Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.",neutral,neutral,neutral,agrees,neutral,neutral,neutral,neutral,1,2,s2,,,,0.0,0.95,B,B,neither agrees nor disagrees,neither agrees nor disagrees
73,73,agrees,0.875,Global warming is happening and it will be dangerous to human health and welfare.,agrees,agrees,agrees,neutral,agrees,agrees,agrees,agrees,1,2,s3,,,,1.0,1.0,A,A,agrees,agrees
74,74,neutral,-0.125,Some icebergs are cute.,neutral,neutral,neutral,disagrees,neutral,neutral,neutral,neutral,1,2,s4,,,,0.2,0.95,B,B,neither agrees nor disagrees,neither agrees nor disagrees
75,75,agrees,0.5,Global warming is not expected to end anytime soon.,agrees,neutral,agrees,neutral,neutral,agrees,agrees,neutral,1,2,t0,0.0041346492203194,0.7670870621351137,0.2287782886445668,1.0,0.8,A,A,agrees,agrees
76,76,neutral,0.375,"Hopefully, now that scientists are aware of this discrepancy this discrepancy, this discrepancy can be addressed in future models of disappearing ice.",neutral,agrees,neutral,agrees,neutral,agrees,neutral,neutral,1,2,t1,0.00379024658158,0.1413747369930409,0.8548350164253791,0.75,0.9,B,B,neither agrees nor disagrees,neither agrees nor disagrees
77,77,neutral,0.25,A clear switch away from fossil fuels is now on the cards.,neutral,neutral,agrees,agrees,neutral,neutral,neutral,neutral,1,2,t10,0.0026834805892495,0.0376628415505745,0.959653677860176,1.0,0.8,A,A,agrees,agrees
78,78,agrees,1.0,Human-caused global warming threatens to undermine the past 50 years of gains in public health.,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,1,2,t11,0.0006090952273415,0.9989791913934812,0.0004117133791771,1.0,1.0,A,A,agrees,agrees
79,79,neutral,0.125,The science of anthropogenic global warming is settled.,neutral,neutral,agrees,neutral,neutral,neutral,neutral,neutral,1,2,t12,0.0023367156744911,0.0279432911361575,0.9697199931893512,1.0,0.95,A,A,agrees,agrees
80,80,neutral,0.5,This work bolsters the view of scientists who’ve been calling for a conservation strategy for polar bears and other ice-dependent species focused on areas of the Arctic where sea ice is projected to endure well into this greenhouse-heated era.,neutral,neutral,agrees,agrees,neutral,agrees,agrees,neutral,1,2,t13,0.0046855615588694,0.4769434271292356,0.5183710113118949,0.9,0.9,A,A,agrees,agrees
81,81,neutral,0.25,"In the very act of inventing tools to improve the environment, we will come closer to understanding our place on the planet, as well as in a global society of creatures like ourselves.",neutral,neutral,agrees,neutral,neutral,agrees,neutral,neutral,1,2,t14,0.0039582318615907,0.1608811717038171,0.8351605964345922,0.75,0.9,B,B,neither agrees nor disagrees,neither agrees nor disagrees
82,82,agrees,0.375,"Since 1978, the winter Arctic ice cap has shrunk by 12 percent per decade.",agrees,neutral,agrees,neutral,agrees,neutral,neutral,neutral,1,2,t15,0.004749077428469,0.4853698158183292,0.509881106753202,1.0,0.9,A,A,agrees,agrees
83,83,agrees,1.0,Climate change has the potential to set back global health.,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,1,2,t16,0.0006369258756478,0.9989538283361066,0.0004092457882455,0.9,0.8,A,A,agrees,agrees
84,84,agrees,0.625,They are too pessimistic about the chances of limiting global warming.,neutral,agrees,neutral,agrees,agrees,agrees,agrees,neutral,1,2,t17,0.0044528780996414,0.7120077223253239,0.2835393995750347,0.8,0.7,A,C,disagrees,agrees
85,85,disagrees,-0.75,"Global temperature increases have been far, far less than doomsday computer models predicted – about three times smaller.",disagrees,neutral,disagrees,neutral,disagrees,disagrees,disagrees,disagrees,1,2,t18,0.9913970856756336,0.0013719494562039,0.0072309648681623,0.9,0.8,C,C,disagrees,disagrees
86,86,disagrees,-0.375,"Global warming may be occurring more slowly than earlier thought, and that previous climate models may have been on the hot side.",disagrees,neutral,neutral,agrees,disagrees,disagrees,disagrees,neutral,1,2,t19,0.8697470514691804,0.0057532213141733,0.1244997272166463,0.75,0.3,B,B,neither agrees nor disagrees,neither agrees nor disagrees
87,87,agrees,0.875,Recent global warming is not only manmade but dangerous.,agrees,agrees,agrees,neutral,agrees,agrees,agrees,agrees,1,2,t2,0.0007972649192681,0.9983192702317648,0.000883464848967,1.0,0.95,A,A,agrees,agrees
88,88,neutral,0.25,"Global sea levels have risen approximately 8 inches over the past century, with sea-level rises getting higher in some parts of the globe.",neutral,neutral,neutral,agrees,neutral,neutral,agrees,neutral,1,2,t20,0.0031552689359308,0.0752894809242428,0.9215552501398264,0.9,0.8,A,A,agrees,agrees
89,89,neutral,0.375,This agreement sends a powerful signal that the world is fully committed to a low-carbon future.,neutral,neutral,neutral,agrees,neutral,agrees,agrees,neutral,1,2,t21,0.0043623503432194,0.2641714891036407,0.7314661605531398,1.0,0.9,A,A,agrees,agrees
90,90,neutral,-0.125,People do not focus as much on 2 degrees energy increases in temperatures or increases in sea levels rising.,neutral,neutral,disagrees,agrees,neutral,disagrees,neutral,neutral,1,2,t22,0.1955678213140698,0.007385781649472,0.7970463970364582,0.8,0.8,B,C,disagrees,neither agrees nor disagrees
91,91,agrees,0.875,Global warming is really such a big deal.,agrees,agrees,agrees,neutral,agrees,agrees,agrees,agrees,1,2,t23,0.0007829635708597,0.9983543673881125,0.0008626690410278,1.0,0.8,A,A,agrees,agrees
92,92,neutral,0.0,China had released about 900 million metric tons more carbon dioxide from 2011 to 201.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1,2,t24,0.0009403624989082,0.0010847789033395,0.9979748585977524,1.0,0.8,B,A,agrees,neither agrees nor disagrees
93,93,agrees,0.625,"Rapid warming in the Arctic could upset these deposits, melting them and freeing the gas.",agrees,neutral,agrees,agrees,agrees,neutral,agrees,neutral,1,2,t25,0.0041016830402863,0.8150056397423273,0.1808926772173863,0.9,0.9,A,A,agrees,agrees
94,94,neutral,0.125,Fossil fuel emissions hit an all-time high in 2017 as carbon dioxide emissions surged for the first time in three years.,neutral,neutral,neutral,neutral,agrees,neutral,neutral,neutral,1,2,t26,0.0028523867387071,0.0537559635087335,0.9433916497525594,0.9,0.9,A,A,agrees,agrees
95,95,agrees,1.0,Global warming will harm Americans.,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,1,2,t27,0.0006254757920059,0.998952880418062,0.000421643789932,1.0,0.9,A,A,agrees,agrees
96,96,agrees,0.375,Reducing carbon will slow the global warming that is attributed to greenhouse gases.,agrees,neutral,agrees,disagrees,neutral,agrees,agrees,neutral,1,2,t28,0.0078606875921522,0.7819688712937195,0.2101704411141281,1.0,0.9,A,A,agrees,agrees
97,97,agrees,0.5,Human activity has increased carbon dioxide emissions and affected the climate.,agrees,neutral,agrees,disagrees,agrees,agrees,agrees,neutral,1,2,t29,0.0049439495640134,0.9559328089461384,0.0391232414898483,0.9,0.9,A,A,agrees,agrees
98,98,agrees,0.625,"If the media put global warming front and center on nightly newscasts and front pages and homepages, people would line up to fight the climate crisis.",agrees,agrees,agrees,disagrees,agrees,agrees,agrees,neutral,1,2,t3,0.0033379688156472,0.9877584046464624,0.0089036265378904,0.9,0.9,A,A,agrees,agrees
99,99,neutral,0.125,Terrestrial ecosystems play a significant role in the global carbon cycle and offset a large fraction of anthropogenic CO2 emissions.,neutral,neutral,disagrees,neutral,agrees,agrees,neutral,neutral,1,2,t4,0.0692710167063194,0.282843482145291,0.6478855011483895,0.9,0.8,B,A,agrees,neither agrees nor disagrees
100,100,agrees,0.875,"Carbon pollution is like putting the Earth on an escalator of rising temperatures, with natural variation such as El Nino or the cooling effect of volcanoes like hopping up or down a step or two on that escalator.",agrees,agrees,agrees,agrees,agrees,agrees,agrees,neutral,1,2,t5,0.0015405549618925,0.9905866699987148,0.0078727750393924,0.9,0.9,A,A,agrees,agrees
101,101,disagrees,-1.0,Global warming will never hurt anyone.,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,1,2,t6,0.9991408179176308,0.000549699399339,0.0003094826830302,1.0,0.9,C,C,disagrees,disagrees
102,102,neutral,0.0,Arctic plant species are extremely responsive to fairly rapid climate shifts in the past.,disagrees,neutral,neutral,agrees,neutral,neutral,neutral,neutral,1,2,t7,0.0826669370364674,0.0059426205966601,0.9113904423668726,0.9,0.8,B,A,agrees,neither agrees nor disagrees
103,103,agrees,0.5,"If human-driven climate change continues on the present course, the ice covering the site could begin to melt in about 75 years.",agrees,neutral,agrees,disagrees,agrees,agrees,agrees,neutral,1,2,t8,0.0049487437250232,0.9555954982520096,0.0394557580229672,0.9,0.9,A,A,agrees,agrees
104,104,disagrees,-0.625,The theory that carbon dioxide is a pollutant has not been substantiated scientifically.,disagrees,neutral,disagrees,agrees,disagrees,disagrees,disagrees,disagrees,1,2,t9,0.9923040207332254,0.0024213156901866,0.0052746635765879,0.8,0.9,C,C,disagrees,disagrees
